date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:03	70943/70943	---M--	200	added ('OK')	image/jpeg	etag:%221151f-5bfed28e6985e%22	http://exill.dk/demo/kitzu/template/img/info-img.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/info-img.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:03	28998/28998	---M--	200	added ('OK')	image/jpeg	etag:%227146-5bfed294f3654%22	http://exill.dk/demo/kitzu/template/img/item-2.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/item-2.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:05	25240/25240	---M--	200	added ('OK')	image/jpeg	etag:%226298-5bfed296de9e9%22	http://exill.dk/demo/kitzu/template/img/item-3.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/item-3.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:17	90698/90698	---M--	200	added ('OK')	image/jpeg	etag:%221624a-5bfed29ff3e06%22	http://exill.dk/demo/kitzu/template/img/item-4.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/item-4.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:19	40208/40208	---M--	200	added ('OK')	image/jpeg	etag:%229d10-5bfed2b96b94a%22	http://exill.dk/demo/kitzu/template/img/post-1.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/post-1.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:21	77119/77119	---M--	200	added ('OK')	image/jpeg	etag:%2212d3f-5bfed2a90efe3%22	http://exill.dk/demo/kitzu/template/img/item-5.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/item-5.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:28	40009/40009	---M--	200	added ('OK')	image/jpeg	etag:%229c49-5bfed2c1a420f%22	http://exill.dk/demo/kitzu/template/img/post-3.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/post-3.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:29	52897/52897	---M--	200	added ('OK')	image/jpeg	etag:%22cea1-5bfed2bf18be8%22	http://exill.dk/demo/kitzu/template/img/post-2.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/post-2.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:31	44728/44728	---M--	200	added ('OK')	image/jpeg	etag:%22aeb8-5bfed2c660132%22	http://exill.dk/demo/kitzu/template/img/post-4.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/post-4.jpg	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:34	5075/5075	---M-Z	200	added ('OK')	text/css	etag:%2213d3-5bfed2f7d6852-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-blueviolet.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-blueviolet.css	(from http://exill.dk/demo/kitzu/template/video.html)
